name,threatname,details,criticality,category,resourcetype,functionality
"Suspicious Process Execution - Targeted - Possible Initial Infiltration Via Fake Chrome Update Analytic - Cloud EDR","User Execution","Description: EDR-SYM93-RUN",Low,SANDBOX-SNYPR,NULL,"Cloud Antivirus / Malware / EDR"
"Possible use of renamed LOL helper tool payload by malware - executable and hash tracking - Cloud EDR",Masquerading,"Description: EDR-SYM109-BPI This policy is the first of two policies that detect cases where an attacker downloads an executable payload that happens to be a native OS / system tool and then renames it before executing it. Such kind of LOL (Living off the Land) techniques prove very useful for adversaries since a lot of these native tools (such as msbuild and regsvr) are whitelisted by AV/EDR tools making their misuse difficult to detect. This first policy tracks hashes and executables associated with certain common helper tools that are misused by attackers.",None,SANDBOX-MALWARE,NULL,"Cloud Antivirus / Malware / EDR"
"Possible Ransomware infection involving use of staging commands on abnormally large number of hosts - Cloud EDR_Duplicate_1","Suspicious process execution","Description: EDR-SYM71-RUN                                                                                               This policy detects possible use of staging commands on an abnormally large number of hosts by an account. This may be indicative of a Ransomware infection.  Technique: Enumeration Behavior SNYPER_ERROR_0001 : Incident Management/Command Screen can potentially have Display problems due to policy inconsistency ",Low,SANDBOX-SNYPR,NULL,"Cloud Antivirus / Malware / EDR"
"High number of accounts used from the same ipaddress for successful authentications or run as events-Microsoft Windows","Brute Force","Description: High number of successful logons could be indicative of a possible account or privilege enumeration. Past logon behavior of these accounts and the nature of these accounts could further indicate the severity of this attack

Technique: Behavior anomaly on the logon failure activity for an account",Low,MALWARE,,"Microsoft Windows"
"Suspicious Service Activity - Rule - Unusual Potentially Malicious Service Analytic-Microsoft Windows","Rare process creation ","Description: Identifies creation of a rare service on a host which is rare to the organization
WEL-TAR12-RUN        
DH-Rejected:  references non-existent attributes 20211005 -DP",High,SANDBOX-MALWARE,NULL,"Microsoft Windows"
"Suspicious Account Activity for Peak Explicit Credentials Distinct Account Name For Host Analytic-Microsoft Windows","Exploitation for Credential Access","Description: Explicit usage of another user's credentials could indicate an account takeover or a password sharing activity. This could further indicate a possible account enumeration. 

Technique: Identity Attribution, SIEM",Low,"ACCOUNT MISUSE",NULL,"Microsoft Windows"
"High number of accounts using the same ipaddress for authentication failures or lockout events-Microsoft Windows","Password Spraying","Description: High number of logon failures could be indicative of a possible account takeover attempt or a possible brute force attempt. Logon failure reason could further indicate the severity of this attack
Technique: Behavior anomaly on the logon failure activity for an account ",None,MALWARE,,"Microsoft Windows"
"Logon from a rare country compared to entire organization -DUO Authentication-Cloud Authentication  SSO  Single Sign-On","Authentication From Rare Geolocation","This policy flags when a user successfully logs in to a host from a rare country compared to the entire organization’s past login behavior. This could be indicative of either credential sharing or an account takeover by an adversary.
MITRE Technique:  External Remote Services(https://attack.mitre.org/techniques/T1133/)
Technique: Rare Behavior",Low,ALERT,"Duo Security Authentication","Cloud Authentication / SSO / Single Sign-On"
"Authentication anomaly-Country Mismatch -Duo Authentication-Cloud Authentication  SSO  Single Sign-On","Authentication From Rare Geolocation","This policy flags accounts where the country of the host (the country in which the machine being logged into resides) is different from the country of the multifactor token (country from where the second factor authentication took place). This could be indicative of either credential sharing or an account takeover by an adversary.
",Medium,ALERT,"Duo Security Authentication","Cloud Authentication / SSO / Single Sign-On"
"Successful password spraying attempt from one account to multiple applications -Duo Authentication-Cloud Authentication  SSO  Single Sign-On","Possible Brute Force Attack","This policy flags scenarios where a password spraying attack for one account on multiple applications is successful. A successful password spraying attack can lead to an adversary gaining controls of the account. 
MITRE Technique:  Brute Force (https://attack.mitre.org/techniques/T1110/), External Remote Services (https://attack.mitre.org/techniques/T1133/)",Low,ALERT,"Duo Security Authentication","Cloud Authentication / SSO / Single Sign-On"
